Supplementary Data 1. 3'aTWAS genes of 11 brain disorders.,,,,,,,,,,
Disease,PANEL,Transcript ID,Gene symbol,3'aTWAS.Z,3'aTWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_002453@SMG1P5@chr16@-,SMG1P5,4.9611,7.01E-07,0,0,0.48,0.221,0.299
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-4.981,6.33E-07,0,0.002,0,0.226,0.773
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_027782@PLEKHM1_2@chr17@-,PLEKHM1,4.199,2.68E-05,0.002,0.002,0.454,0.502,0.041
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.542,5.57E-06,0,0.02,0,0.007,0.973
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001330244@ARL17A_1@chr17@+,ARL17A,-5.723,1.05E-08,0,0,0,0.012,0.988
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_145674@CYP2D7_7@chr22@-,CYP2D7,6.369,1.90E-10,0,0,0,0.415,0.585
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001166019@AP1B1@chr22@-,AP1B1,-5.029,4.92E-07,0.606,0.049,0.177,0.014,0.154
SCZ,Brain_Cerebellum,ALL.NM_001136115@FBXO28@chr1@+,FBXO28,4.389,1.14E-05,0.648,0.018,0.091,0.002,0.241
SCZ,Brain_Cerebellum,ALL.NM_001304724@PLEKHO1@chr1@+,PLEKHO1,-4.8778,1.07E-06,0,0,0,0.014,0.985
SCZ,Brain_Cerebellum,ALL.NM_001001653@MED8@chr1@-,MED8,-4.267,1.98E-05,0,0,0.002,0.998,0
SCZ,Brain_Cerebellum,ALL.NM_024011@CDK11A@chr1@-,CDK11A,-4.0945,4.23E-05,0.644,0.212,0.095,0.031,0.019
SCZ,Brain_Cerebellum,ALL.NM_001008388@CISD2@chr4@+,CISD2,4.867,1.14E-06,0.002,0.001,0.133,0.073,0.79
SCZ,Brain_Cerebellum,ALL.NM_144723@ZMAT2@chr5@+,ZMAT2,6.311,2.78E-10,0,0,0.138,0.074,0.788
SCZ,Brain_Cerebellum,ALL.NM_002121@HLA-DPB1_7@chr6@+,HLA-DPB1,-5.305,1.13E-07,0,0,0,1,0
SCZ,Brain_Cerebellum,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-5.375,7.65E-08,0,0,0.831,0.044,0.125
SCZ,Brain_Cerebellum,ALL.NM_001301872@MTRF1L@chr6@-,MTRF1L,4.169,3.06E-05,0.904,0.086,0.008,0.001,0.001
SCZ,Brain_Cerebellum,ALL.NM_005514@HLA-B_5@chr6@-,HLA-B,5.162,2.44E-07,0,0,0,0.989,0.01
SCZ,Brain_Cerebellum,ALL.NM_001282385@CSNK2B_6@chr6@+,CSNK2B,-5.081,3.75E-07,0,0,0.831,0.092,0.077
SCZ,Brain_Cerebellum,ALL.NR_027692@PHF1_1@chr6@+,PHF1,5.881,4.07E-09,0,0,0.013,0.021,0.965
SCZ,Brain_Cerebellum,ALL.NM_001287526@IFT22@chr7@-,IFT22,4.483,7.36E-06,0.808,0.117,0.021,0.003,0.051
SCZ,Brain_Cerebellum,ALL.NM_001354456@PLPP5@chr8@-,PLPP5,-5.915,3.32E-09,0,0,0.694,0.026,0.279
SCZ,Brain_Cerebellum,ALL.NM_001329493@EMC2@chr8@+,EMC2,-4.107,4.01E-05,0,0.113,0,0.031,0.857
SCZ,Brain_Cerebellum,ALL.NM_014673@EMC2@chr8@+,EMC2,-4.107,4.01E-05,0,0.113,0,0.031,0.857
SCZ,Brain_Cerebellum,ALL.NR_109792@MIR124-2HG@chr8@+,MIR124-2HG,-5.74,9.47E-09,0,0,0.011,0.088,0.901
SCZ,Brain_Cerebellum,ALL.NM_144591@BORCS7@chr10@+,BORCS7,-10.5227,6.79E-26,0,0,0.521,0.096,0.383
SCZ,Brain_Cerebellum,ALL.NM_004311@ARL3@chr10@-,ARL3,-10.4783,1.09E-25,0,0,0.001,0.291,0.708
SCZ,Brain_Cerebellum,ALL.NM_001098625@JKAMP@chr14@+,JKAMP,-4.319,1.57E-05,0.092,0.022,0.644,0.151,0.091
SCZ,Brain_Cerebellum,ALL.NM_016475@JKAMP@chr14@+,JKAMP,-4.319,1.57E-05,0.092,0.022,0.644,0.151,0.091
SCZ,Brain_Cerebellum,ALL.NM_018193@FANCI@chr15@+,FANCI,4.446,8.75E-06,0,0,0.007,0.54,0.452
SCZ,Brain_Cerebellum,ALL.NM_001160114@C15orf40@chr15@-,C15orf40,4.048,5.17E-05,0,0,0.54,0.273,0.186
SCZ,Brain_Cerebellum,ALL.NM_014630@ZNF592@chr15@+,ZNF592,6.985,2.85E-12,0,0,0,0.015,0.985
SCZ,Brain_Cerebellum,ALL.NM_001376910@FANCI@chr15@+,FANCI,4.208,2.58E-05,0,0,0.118,0.544,0.337
SCZ,Brain_Cerebellum,ALL.NM_024516@PAGR1@chr16@+,PAGR1,-5.1853,2.16E-07,0,0,0.019,0.026,0.954
SCZ,Brain_Cerebellum,ALL.NR_002453@SMG1P5@chr16@-,SMG1P5,5.2249,1.74E-07,0,0,0.062,0.495,0.444
SCZ,Brain_Cerebellum,ALL.NM_001321892@NPIPB13_1@chr16@-,NPIPB13,-4.3,1.71E-05,0,0,0.906,0.056,0.038
SCZ,Brain_Cerebellum,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-4.571091,4.85E-06,0,0.002,0,0.193,0.805
SCZ,Brain_Cerebellum,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-5.38,7.45E-08,0,0,0,0.007,0.993
SCZ,Brain_Cerebellum,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.542,5.57E-06,0,0.02,0,0.007,0.974
SCZ,Brain_Cerebellum,ALL.NM_001330244@ARL17A_1@chr17@+,ARL17A,-5.673,1.40E-08,0,0,0,0.016,0.984
SCZ,Brain_Cerebellum,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.036,5.44E-05,0,0.085,0,0.43,0.485
SCZ,Brain_Cerebellum,ALL.NM_001384511@GATAD2A@chr19@+,GATAD2A,-5.875,4.22E-09,0,0,0.153,0.041,0.805
SCZ,Brain_Cerebellum,ALL.NM_001348239@PCBP3@chr21@+,PCBP3,-4.362,1.29E-05,0.089,0.054,0.18,0.109,0.568
SCZ,Brain_Cerebellum,ALL.NR_145674@CYP2D7_7@chr22@-,CYP2D7,6.389,1.67E-10,0,0,0.004,0.383,0.614
SCZ,Brain_Cerebellum,ALL.NM_014248@RBX1@chr22@+,RBX1,4.254,2.10E-05,0,0,0.01,0.984,0.005
SCZ,Brain_Cerebellum,ALL.NM_014337@PPIL2@chr22@+,PPIL2,4.469,7.86E-06,0,0.026,0,0.057,0.917
SCZ,Brain_Cerebellum,ALL.NR_146717@SMDT1_3@chr22@+,SMDT1,-6.424,1.33E-10,0,0,0.578,0.138,0.284
SCZ,Brain_Cerebellum,ALL.NM_024105@ALG12@chr22@-,ALG12,-4.49,7.12E-06,0.011,0.005,0.23,0.091,0.663
SCZ,Brain_Cortex,ALL.NM_004804@CIAO1@chr2@+,CIAO1,4.4014,1.08E-05,0.001,0.044,0,0.01,0.945
SCZ,Brain_Cortex,ALL.NM_006569@CGREF1@chr2@-,CGREF1,4.1293,3.64E-05,0.015,0.022,0.041,0.059,0.864
SCZ,Brain_Cortex,ALL.NM_001008388@CISD2@chr4@+,CISD2,5.376,7.62E-08,0.007,0,0.54,0.017,0.436
SCZ,Brain_Cortex,ALL.NM_144723@ZMAT2@chr5@+,ZMAT2,4.562,5.07E-06,0,0,0.91,0.051,0.039
SCZ,Brain_Cortex,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-7.7539,8.91E-15,0,0,0.242,0.018,0.741
SCZ,Brain_Cortex,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-4.6672,3.05E-06,0,0,0.001,0.033,0.966
SCZ,Brain_Cortex,ALL.NM_172208@TAPBP_4@chr6@-,TAPBP,-9.0982,9.19E-20,0,0,0.177,0.03,0.793
SCZ,Brain_Cortex,ALL.NM_001293216@TUBB_7@chr6@+,TUBB,-10.459,1.33E-25,0,0,0.065,0,0.935
SCZ,Brain_Cortex,ALL.NR_045492@LSM1@chr8@-,LSM1,4.9987,5.77E-07,0,0,0.064,0.04,0.897
SCZ,Brain_Cortex,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-5.8501,4.91E-09,0,0,0,0.036,0.964
SCZ,Brain_Cortex,ALL.NM_152415@VPS37A@chr8@+,VPS37A,-4.1309,3.61E-05,0,0.004,0.001,0.01,0.984
SCZ,Brain_Cortex,ALL.NM_014462@LSM1@chr8@-,LSM1,4.9193,8.68E-07,0,0,0.081,0.04,0.879
SCZ,Brain_Cortex,ALL.NM_004311@ARL3@chr10@-,ARL3,-7.599,2.98E-14,0,0,0.29,0.149,0.561
SCZ,Brain_Cortex,ALL.NM_032871@RELT@chr11@+,RELT,4.025,5.69E-05,0.902,0.082,0.01,0.001,0.005
SCZ,Brain_Cortex,ALL.NM_001178081@STAT6@chr12@-,STAT6,-4.0954,4.22E-05,0,0,0,0.999,0.001
SCZ,Brain_Cortex,ALL.NM_001080435@WHAMM@chr15@+,WHAMM,4.485,7.27E-06,0,0,0.54,0.18,0.28
SCZ,Brain_Cortex,ALL.NM_001323512@AMFR@chr16@-,AMFR,-4.146,3.38E-05,0,0.194,0,0.027,0.779
SCZ,Brain_Cortex,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.016,5.28E-07,0,0.002,0,0.196,0.802
SCZ,Brain_Cortex,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-5.18942,2.11E-07,0,0,0,0.004,0.996
SCZ,Brain_Cortex,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.036,5.44E-05,0,0.085,0,0.43,0.485
SCZ,Brain_Cortex,ALL.NM_014337@PPIL2@chr22@+,PPIL2,4.6215,3.81E-06,0,0.026,0,0.058,0.917
SCZ,Brain_Cortex,ALL.NM_001362848@NAGA@chr22@-,NAGA,6.64,3.14E-11,0,0,0.028,0.105,0.867
SCZ,Brain_Cortex,ALL.NM_001348386@CYP2D7_7@chr22@-,CYP2D7,4.0385,5.38E-05,0,0,0.001,0.052,0.947
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001001653@MED8@chr1@-,MED8,-4.197,0.000027,0,0,0.026,0.973,0.001
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_144629@RFTN2@chr2@-,RFTN2,6.37165,1.87E-10,0,0,0.491,0.112,0.397
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001320884@DYNC1I2@chr2@+,DYNC1I2,-3.98405,6.78E-05,0,0.033,0,0.959,0.009
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_006569@CGREF1@chr2@-,CGREF1,4.411,1.03E-05,0.179,0.012,0.489,0.033,0.287
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001271788@DYNC1I2@chr2@+,DYNC1I2,-3.97641,7.00E-05,0,0.033,0,0.959,0.009
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001008388@CISD2@chr4@+,CISD2,5.107,3.27E-07,0,0.001,0.034,0.087,0.878
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-10.66,1.57E-26,0,0,0.329,0.015,0.657
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_005514@HLA-B_5@chr6@-,HLA-B,4.3786,1.19E-05,0,0,0.001,0.767,0.232
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_002117@HLA-C_6@chr6@-,HLA-C,-4.848,1.25E-06,0,0,0,1,0
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001243965@HLA-DRB1_1@chr6@-,HLA-DRB1,-5.403,6.55E-08,0,0,0.001,0.999,0
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-6.293,3.11E-10,0,0,0.009,0.006,0.985
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_002373@MAP1A@chr15@+,MAP1A,-5.642,1.68E-08,0,0,0.412,0.089,0.499
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_014630@ZNF592@chr15@+,ZNF592,6.388,1.68E-10,0,0,0.314,0.319,0.367
SCZ,Brain_Frontal_Cortex_BA9,ALL.NR_104447@HDDC3@chr15@-,HDDC3,-4.089,4.33E-05,0,0,0.007,0.991,0.002
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001318391@UTP4_1@chr16@+,UTP4,4.363,1.28E-05,0.197,0.027,0.191,0.026,0.558
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_000977@RPL13@chr16@+,RPL13,4.288,1.80E-05,0,0.003,0,0.943,0.054
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001323512@AMFR@chr16@-,AMFR,-4.4392,9.03E-06,0,0.193,0,0.027,0.78
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.089,3.61E-07,0,0.001,0,0.155,0.844
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_004140@LLGL1_1@chr17@+,LLGL1,-4.854,1.21E-06,0.09,0.027,0.236,0.071,0.576
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.542,5.57E-06,0,0.02,0,0.007,0.974
SCZ,Brain_Frontal_Cortex_BA9,ALL.NR_006880@SNORD3A@chr17@+,SNORD3A,3.999,6.36E-05,0,0,0.27,0.558,0.172
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_014248@RBX1@chr22@+,RBX1,4.254,2.10E-05,0,0,0.474,0.502,0.024
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_014337@PPIL2@chr22@+,PPIL2,4.472,7.73E-06,0,0.021,0,0.046,0.934
SCZ,Brain_Frontal_Cortex_BA9,ALL.NM_001362848@NAGA@chr22@-,NAGA,7.142,9.23E-13,0,0,0,0.076,0.923
SCZ,Brain_Hippocampus,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-4.395,1.11E-05,0,0,0,0.681,0.319
SCZ,Brain_Hippocampus,ALL.NM_002122@HLA-DQA1_6@chr6@+,HLA-DQA1,-6.215,5.13E-10,0,0,0,1,0
SCZ,Brain_Hippocampus,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-5.824,5.75E-09,0,0,0,0.11,0.89
SCZ,Brain_Hippocampus,ALL.NM_018225@SMU1@chr9@-,SMU1,-4.016,5.92E-05,0.787,0.032,0.095,0.004,0.083
SCZ,Brain_Hippocampus,ALL.NM_001347925@SNX19@chr11@-,SNX19,-6.0112,1.84E-09,0.003,0,0.677,0.107,0.213
SCZ,Brain_Hippocampus,ALL.NM_016226@VPS29@chr12@-,VPS29,-4.012,6.02E-05,0,0,0.577,0.083,0.34
SCZ,Brain_Hippocampus,ALL.NM_024516@PAGR1@chr16@+,PAGR1,-6.798,1.06E-11,0,0,0.26,0.092,0.649
SCZ,Brain_Hippocampus,ALL.NM_000977@RPL13@chr16@+,RPL13,3.882,1.04E-04,0,0.003,0,0.93,0.067
SCZ,Brain_Hippocampus,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.4381,5.39E-08,0,0.001,0.002,0.165,0.832
SCZ,Brain_Hippocampus,ALL.NM_004793@LONP1@chr19@-,LONP1,-4.87,1.12E-06,0.115,0.834,0.001,0.009,0.041
SCZ,Brain_Hypothalamus,ALL.NM_001001653@MED8@chr1@-,MED8,-4.417,0.00001,0,0,0.037,0.961,0.002
SCZ,Brain_Hypothalamus,ALL.NM_004804@CIAO1@chr2@+,CIAO1,4.397,0.000011,0.245,0.027,0.063,0.006,0.659
SCZ,Brain_Hypothalamus,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-5.373,7.76E-08,0,0,0.655,0.028,0.317
SCZ,Brain_Hypothalamus,ALL.NM_002117@HLA-C_6@chr6@-,HLA-C,-4.118,3.82E-05,0,0,0,0.999,0.001
SCZ,Brain_Hypothalamus,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-6.876,6.16E-12,0,0,0,0.003,0.997
SCZ,Brain_Hypothalamus,ALL.NR_120608@TUBB_7@chr6@+,TUBB,-7.876,3.39E-15,0,0,0.022,0.023,0.955
SCZ,Brain_Hypothalamus,ALL.NM_002122@HLA-DQA1_6@chr6@+,HLA-DQA1,-5.981,2.22E-09,0,0,0,1,0
SCZ,Brain_Hypothalamus,ALL.NM_002125@HLA-DRB5@chr6@-,HLA-DRB5,3.91,9.24E-05,0,0,0,1,0
SCZ,Brain_Hypothalamus,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-4.788,1.69E-06,0,0,0,0.032,0.968
SCZ,Brain_Hypothalamus,ALL.NM_001291931@TSNARE1@chr8@-,TSNARE1,-6.19,6.00E-10,0,0,0.802,0.097,0.101
SCZ,Brain_Hypothalamus,ALL.NM_014673@EMC2@chr8@+,EMC2,-4.508,6.54E-06,0.007,0.023,0.002,0.005,0.963
SCZ,Brain_Hypothalamus,ALL.NM_001539@DNAJA1@chr9@+,DNAJA1,-4.066,4.78E-05,0,0.132,0,0.015,0.852
SCZ,Brain_Hypothalamus,ALL.NM_001347925@SNX19@chr11@-,SNX19,-4.555,5.24E-06,0.002,0.001,0.492,0.2,0.305
SCZ,Brain_Hypothalamus,ALL.NM_016226@VPS29@chr12@-,VPS29,-7.13,1.00E-12,0,0,0.506,0.094,0.399
SCZ,Brain_Hypothalamus,ALL.NM_170665@ATP2A2@chr12@+,ATP2A2,6.3891,1.67E-10,0,0,0.837,0.057,0.106
SCZ,Brain_Hypothalamus,ALL.NM_001321926@CKMT1A@chr15@+,CKMT1A,-4.975,6.51E-07,0,0,0.554,0.125,0.321
SCZ,Brain_Hypothalamus,ALL.NM_001318391@UTP4_1@chr16@+,UTP4,5.907,3.48E-09,0.177,0.039,0.172,0.037,0.575
SCZ,Brain_Hypothalamus,ALL.NM_032830@UTP4_1@chr16@+,UTP4,5.493,3.94E-08,0.217,0.04,0.211,0.039,0.493
SCZ,Brain_Hypothalamus,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-5.38,7.45E-08,0,0,0,0.007,0.993
SCZ,Brain_Hypothalamus,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.541,5.60E-06,0,0.019,0,0.007,0.974
SCZ,Brain_Hypothalamus,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.036,5.44E-05,0,0.085,0,0.43,0.485
SCZ,Brain_Hypothalamus,ALL.NM_002490@NDUFA6_4@chr22@-,NDUFA6,5.065,4.08E-07,0,0,0.919,0.039,0.042
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001304724@PLEKHO1@chr1@+,PLEKHO1,-5.503,3.73E-08,0,0,0.029,0.015,0.955
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001297674@RPRD2@chr1@+,RPRD2,5.8158,6.03E-09,0.004,0,0.444,0.032,0.52
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_058167@UBE2J2@chr1@-,UBE2J2,-4.1213,3.77E-05,0.403,0.547,0.01,0.014,0.026
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_019850@NGEF@chr2@-,NGEF,5.0646,4.09E-07,0,0,0.283,0.209,0.508
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001354678@PRKCD@chr3@+,PRKCD,9.1853,4.10E-20,0,0,0.56,0.086,0.354
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_013334@GMPPB@chr3@-,GMPPB,-4.21,2.55E-05,0,0,0.906,0.055,0.038
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_144723@ZMAT2@chr5@+,ZMAT2,5.866,4.46E-09,0,0,0.859,0.019,0.122
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_002121@HLA-DPB1_7@chr6@+,HLA-DPB1,-6.2015,5.59E-10,0,0,0.006,0.992,0.002
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-4.279,1.88E-05,0,0,0.865,0.098,0.037
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_005514@HLA-B_5@chr6@-,HLA-B,5.1425,2.71E-07,0,0,0,0.899,0.101
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_004381@ATF6B_3@chr6@-,ATF6B,4.279,1.88E-05,0,0,0.88,0.083,0.037
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-4.56,5.12E-06,0,0,0.002,0.064,0.934
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_015332@NUDCD3@chr7@-,NUDCD3,4.121,3.77E-05,0.075,0.099,0.016,0.02,0.791
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-5.919,3.25E-09,0,0,0,0.027,0.973
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001362913@DDHD2@chr8@+,DDHD2,-4.536,5.73E-06,0,0,0.05,0.034,0.915
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_015214@DDHD2@chr8@+,DDHD2,-4.568,4.93E-06,0,0,0.086,0.034,0.88
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001329493@EMC2@chr8@+,EMC2,-4.508,6.54E-06,0.09,0.021,0.025,0.005,0.858
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_014673@EMC2@chr8@+,EMC2,-4.508,6.54E-06,0.112,0.021,0.031,0.005,0.831
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_004311@ARL3@chr10@-,ARL3,-8.147,3.73E-16,0,0,0.224,0.158,0.618
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001324364@ADAL@chr15@+,ADAL,4.074,4.62E-05,0,0,0.7,0.077,0.222
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001324365@ADAL@chr15@+,ADAL,4.043,5.28E-05,0,0,0.707,0.076,0.217
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_014630@ZNF592@chr15@+,ZNF592,6.305,2.88E-10,0,0,0.013,0.02,0.967
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NR_104447@HDDC3@chr15@-,HDDC3,-4.042,5.30E-05,0,0,0.821,0.144,0.035
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001318391@UTP4_1@chr16@+,UTP4,4.192,2.77E-05,0.011,0.077,0.011,0.073,0.828
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_000977@RPL13@chr16@+,RPL13,4.288,1.80E-05,0,0.003,0,0.943,0.054
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001243131@RPL13@chr16@+,RPL13,4.2391,2.24E-05,0,0.003,0,0.942,0.054
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_152287@ZNF276@chr16@+,ZNF276,4.7027,2.57E-06,0.002,0.001,0.563,0.259,0.175
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001324359@OGFOD1@chr16@+,OGFOD1,4.123,3.74E-05,0.308,0.075,0.043,0.01,0.563
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.5465,2.92E-08,0,0.001,0,0.174,0.825
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-5.38,7.45E-08,0,0,0,0.007,0.993
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.542,5.57E-06,0,0.02,0,0.007,0.974
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.061,4.89E-05,0,0.081,0,0.409,0.51
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001206736@NSFL1C@chr20@-,NSFL1C,4.352,1.35E-05,0.003,0.69,0.001,0.272,0.035
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NR_145674@CYP2D7_7@chr22@-,CYP2D7,5.18812,2.12E-07,0,0,0.026,0.028,0.945
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_014337@PPIL2@chr22@+,PPIL2,5.02913,4.93E-07,0,0.003,0,0.006,0.991
SCZ,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001362848@NAGA@chr22@-,NAGA,7.37867,1.60E-13,0,0,0.001,0.011,0.989
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_001001653@MED8@chr1@-,MED8,-4.197,2.70E-05,0,0,0.612,0.36,0.028
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_017825@ADPRS@chr1@+,ADPRS,7.0895,1.35E-12,0.001,0,0.405,0.057,0.538
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_144629@RFTN2@chr2@-,RFTN2,6.695,2.16E-11,0,0,0.23,0.066,0.704
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_001008388@CISD2@chr4@+,CISD2,5.145,2.68E-07,0,0.001,0.015,0.074,0.91
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_032361@THOC3@chr5@-,THOC3,4.0597,4.91E-05,0.545,0.369,0.008,0.005,0.073
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_017706@WDR55@chr5@+,WDR55,5.0104,5.43E-07,0,0,0.013,0.075,0.912
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_002123@HLA-DQB1@chr6@-,HLA-DQB1,4.3348,1.46E-05,0,0,0,1,0
SCZ,Brain_Putamen_basal_ganglia,ALL.NR_029461@LST1_7@chr6@+,LST1,-3.9827,6.81E-05,0,0,0.904,0.052,0.045
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_002125@HLA-DRB5@chr6@-,HLA-DRB5,3.9394,8.17E-05,0,0,0,1,0
SCZ,Brain_Putamen_basal_ganglia,ALL.NR_029462@LST1_7@chr6@+,LST1,-5.2486,1.53E-07,0,0,0.884,0.069,0.047
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_015332@NUDCD3@chr7@-,NUDCD3,3.915,9.05E-05,0.158,0.227,0.033,0.047,0.536
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-6.144,8.05E-10,0,0,0,0.03,0.97
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_001329493@EMC2@chr8@+,EMC2,-4.029,5.60E-05,0.066,0.044,0.019,0.011,0.86
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_014673@EMC2@chr8@+,EMC2,-4.011,6.05E-05,0.045,0.044,0.013,0.011,0.887
SCZ,Brain_Putamen_basal_ganglia,ALL.NM_144591@BORCS7@chr10@+,BORCS7,-11.3218,1.02E-29,0,0,0.274,0.193,0.532
SCZ,Brain_Putamen_basal_ganglia,ALL.NR_110099@SNHG21@chr15@+,SNHG21,4.144,3.41E-05,0,0,0.785,0.147,0.067
SCZ,Brain_Putamen_basal_ganglia,ALL.NR_130947@WDR73@chr15@-,WDR73,-4.677,2.91E-06,0,0,0.248,0.346,0.406
